2025-07-04 09:58:32 [info]: Logger initialized successfully
2025-07-04 09:58:35 [info]: Server running on port 3000
2025-07-04 09:58:35 [info]: Connected to MongoDB
2025-07-04 09:59:00 [info]: Received GET request to /api/notifications
2025-07-04 09:59:00 [error]: Authentication failed
2025-07-04 09:59:00 [info]: Received GET request to /api/notifications
2025-07-04 09:59:00 [error]: Authentication failed
2025-07-04 09:59:10 [info]: Received POST request to /api/login
2025-07-04 09:59:10 [info]: Login attempt:
2025-07-04 09:59:10 [info]: Received GET request to /api/notifications
2025-07-04 09:59:10 [info]: Received GET request to /api/products
2025-07-04 09:59:10 [info]: Received GET request to /api/lots
2025-07-04 09:59:10 [info]: Received GET request to /api/warehouses
2025-07-04 09:59:10 [info]: Received GET request to /api/warehouses
2025-07-04 09:59:10 [info]: Received GET request to /api/notifications
2025-07-04 09:59:10 [info]: Received GET request to /api/products
2025-07-04 09:59:10 [info]: Received GET request to /api/lots
2025-07-04 09:59:15 [info]: Received GET request to /api/suppliers
2025-07-04 09:59:15 [info]: Received GET request to /api/suppliers
2025-07-04 09:59:15 [info]: Received GET request to /api/products
2025-07-04 09:59:15 [info]: Received GET request to /api/lots
2025-07-04 09:59:15 [info]: Received GET request to /api/warehouses
2025-07-04 09:59:15 [info]: Received GET request to /api/warehouses
2025-07-04 09:59:15 [info]: Received GET request to /api/products
2025-07-04 09:59:15 [info]: Received GET request to /api/lots
2025-07-04 09:59:15 [info]: Received GET request to /api/suppliers
2025-07-04 09:59:15 [info]: Received GET request to /api/suppliers
2025-07-04 09:59:17 [info]: Received GET request to /api/suppliers
2025-07-04 09:59:17 [info]: Received GET request to /api/products
2025-07-04 09:59:17 [info]: Received GET request to /api/warehouses
2025-07-04 09:59:17 [info]: Received GET request to /api/categories
2025-07-04 09:59:17 [info]: Received GET request to /api/suppliers
2025-07-04 09:59:17 [info]: Received GET request to /api/warehouses
2025-07-04 09:59:17 [info]: Received GET request to /api/categories
2025-07-04 09:59:17 [info]: Received GET request to /api/products
2025-07-04 09:59:22 [info]: Received GET request to /api/suppliers
2025-07-04 09:59:22 [info]: Received GET request to /api/suppliers
2025-07-04 09:59:22 [info]: Received GET request to /api/lots
2025-07-04 09:59:22 [info]: Received GET request to /api/products
2025-07-04 09:59:22 [info]: Received GET request to /api/warehouses
2025-07-04 09:59:22 [info]: Received GET request to /api/warehouses
2025-07-04 09:59:22 [info]: Received GET request to /api/lots
2025-07-04 09:59:22 [info]: Received GET request to /api/products
2025-07-04 09:59:32 [info]: Received GET request to /api/suppliers
2025-07-04 09:59:32 [info]: Received GET request to /api/suppliers
2025-07-04 09:59:33 [info]: Received GET request to /api/suppliers
2025-07-04 09:59:33 [info]: Received GET request to /api/products
2025-07-04 09:59:33 [info]: Received GET request to /api/categories
2025-07-04 09:59:33 [info]: Received GET request to /api/warehouses
2025-07-04 09:59:33 [info]: Received GET request to /api/suppliers
2025-07-04 09:59:33 [info]: Received GET request to /api/categories
2025-07-04 09:59:33 [info]: Received GET request to /api/warehouses
2025-07-04 09:59:33 [info]: Received GET request to /api/products
2025-07-04 09:59:35 [info]: Received GET request to /api/warehouses
2025-07-04 09:59:35 [info]: Received GET request to /api/warehouses
2025-07-04 09:59:35 [info]: Received GET request to /api/receive-history?startDate=04-07-2025&endDate=04-07-2025&warehouse=&searchQuery=&userQuery=&page=1&limit=25
2025-07-04 09:59:35 [info]: Received GET request to /api/receive-history?startDate=04-07-2025&endDate=04-07-2025&warehouse=&searchQuery=&userQuery=&page=1&limit=25
2025-07-04 09:59:40 [info]: Received GET request to /api/categories
2025-07-04 09:59:40 [info]: Received GET request to /api/products
2025-07-04 09:59:40 [info]: Received GET request to /api/categories
2025-07-04 09:59:40 [info]: Received GET request to /api/products
2025-07-04 09:59:40 [info]: Received GET request to /api/notifications
2025-07-04 09:59:40 [info]: Received GET request to /api/products
2025-07-04 09:59:40 [info]: Received GET request to /api/categories
2025-07-04 09:59:40 [info]: Received GET request to /api/warehouses
2025-07-04 09:59:40 [info]: Received GET request to /api/suppliers
2025-07-04 09:59:40 [info]: Received GET request to /api/categories
2025-07-04 09:59:40 [info]: Received GET request to /api/warehouses
2025-07-04 09:59:40 [info]: Received GET request to /api/products
2025-07-04 09:59:40 [info]: Received GET request to /api/suppliers
2025-07-04 09:59:42 [info]: Received GET request to /api/warehouses
2025-07-04 09:59:42 [info]: Received GET request to /api/warehouses
2025-07-04 09:59:42 [info]: Received GET request to /api/lot-management?searchQuery=&warehouse=all&page=1&limit=25
2025-07-04 09:59:42 [info]: Fetching lot management data
2025-07-04 09:59:42 [info]: Received GET request to /api/lot-management?searchQuery=&warehouse=all&page=1&limit=25
2025-07-04 09:59:42 [info]: Fetching lot management data
2025-07-04 10:00:01 [info]: Received GET request to /api/lot-management?searchQuery=&warehouse=Phnom+Penh+Warehouse&page=1&limit=25
2025-07-04 10:00:01 [info]: Fetching lot management data
2025-07-04 10:00:10 [info]: Received GET request to /api/notifications
2025-07-04 10:00:40 [info]: Received GET request to /api/notifications
2025-07-04 10:01:10 [info]: Received GET request to /api/notifications
2025-07-04 10:01:40 [info]: Received GET request to /api/notifications
2025-07-04 10:02:10 [info]: Received GET request to /api/notifications
2025-07-04 10:02:40 [info]: Received GET request to /api/notifications
2025-07-04 10:03:10 [info]: Received GET request to /api/notifications
2025-07-04 10:03:25 [info]: Received GET request to /api/warehouses
2025-07-04 10:03:25 [info]: Received GET request to /api/receive-history?startDate=04-07-2025&endDate=04-07-2025&warehouse=&searchQuery=&userQuery=&page=1&limit=25
2025-07-04 10:03:25 [info]: Received GET request to /api/warehouses
2025-07-04 10:03:25 [info]: Received GET request to /api/receive-history?startDate=04-07-2025&endDate=04-07-2025&warehouse=&searchQuery=&userQuery=&page=1&limit=25
2025-07-04 10:03:25 [info]: Received GET request to /api/warehouses
2025-07-04 10:03:25 [info]: Received GET request to /api/warehouses
2025-07-04 10:03:25 [info]: Received GET request to /api/lot-management?searchQuery=&warehouse=all&page=1&limit=25
2025-07-04 10:03:25 [info]: Fetching lot management data
2025-07-04 10:03:25 [info]: Received GET request to /api/lot-management?searchQuery=&warehouse=all&page=1&limit=25
2025-07-04 10:03:25 [info]: Fetching lot management data
2025-07-04 10:03:26 [info]: Received GET request to /api/warehouses
2025-07-04 10:03:26 [info]: Received GET request to /api/users
2025-07-04 10:03:26 [info]: Received GET request to /api/warehouses
2025-07-04 10:03:26 [info]: Received GET request to /api/users
2025-07-04 10:03:27 [info]: Received GET request to /api/warehouses
2025-07-04 10:03:27 [info]: Received GET request to /api/lot-management?searchQuery=&warehouse=all&page=1&limit=25
2025-07-04 10:03:27 [info]: Fetching lot management data
2025-07-04 10:03:27 [info]: Received GET request to /api/warehouses
2025-07-04 10:03:27 [info]: Received GET request to /api/lot-management?searchQuery=&warehouse=all&page=1&limit=25
2025-07-04 10:03:27 [info]: Fetching lot management data
2025-07-04 10:03:29 [info]: Received GET request to /api/warehouses
2025-07-04 10:03:29 [info]: Received GET request to /api/receive-history?startDate=04-07-2025&endDate=04-07-2025&warehouse=&searchQuery=&userQuery=&page=1&limit=25
2025-07-04 10:03:29 [info]: Received GET request to /api/warehouses
2025-07-04 10:03:29 [info]: Received GET request to /api/receive-history?startDate=04-07-2025&endDate=04-07-2025&warehouse=&searchQuery=&userQuery=&page=1&limit=25
2025-07-04 10:03:29 [info]: Received GET request to /api/warehouses
2025-07-04 10:03:29 [info]: Received GET request to /api/categories
2025-07-04 10:03:29 [info]: Received GET request to /api/products
2025-07-04 10:03:29 [info]: Received GET request to /api/suppliers
2025-07-04 10:03:29 [info]: Received GET request to /api/warehouses
2025-07-04 10:03:29 [info]: Received GET request to /api/categories
2025-07-04 10:03:29 [info]: Received GET request to /api/suppliers
2025-07-04 10:03:29 [info]: Received GET request to /api/products
2025-07-04 10:03:31 [info]: Received GET request to /api/warehouses
2025-07-04 10:03:31 [info]: Received GET request to /api/receive-history?startDate=04-07-2025&endDate=04-07-2025&warehouse=&searchQuery=&userQuery=&page=1&limit=25
2025-07-04 10:03:31 [info]: Received GET request to /api/warehouses
2025-07-04 10:03:31 [info]: Received GET request to /api/receive-history?startDate=04-07-2025&endDate=04-07-2025&warehouse=&searchQuery=&userQuery=&page=1&limit=25
2025-07-04 10:03:40 [info]: Received GET request to /api/warehouses
2025-07-04 10:03:40 [info]: Received GET request to /api/receive-history?startDate=02-07-2025&endDate=04-07-2025&warehouse=&searchQuery=&userQuery=&page=1&limit=25
2025-07-04 10:03:40 [info]: Received GET request to /api/notifications
2025-07-04 10:04:11 [info]: Received GET request to /api/notifications
2025-07-04 10:04:41 [info]: Received GET request to /api/notifications
2025-07-04 10:05:23 [info]: Received GET request to /api/notifications
2025-07-04 10:05:40 [info]: Received GET request to /api/notifications
2025-07-04 10:06:08 [info]: Received GET request to /api/receive-history?startDate=02-07-2025&endDate=04-07-2025&warehouse=&searchQuery=&userQuery=&page=2&limit=25
2025-07-04 10:06:08 [info]: Received GET request to /api/warehouses
2025-07-04 10:06:10 [info]: Received GET request to /api/notifications
2025-07-04 10:06:12 [info]: Received GET request to /api/receive-history?startDate=02-07-2025&endDate=04-07-2025&warehouse=&searchQuery=&userQuery=&page=2&limit=25
2025-07-04 10:06:12 [info]: Received GET request to /api/warehouses
2025-07-04 10:06:12 [info]: Received GET request to /api/receive-history?startDate=04-07-2025&endDate=04-07-2025&warehouse=&searchQuery=&userQuery=&page=1&limit=25
2025-07-04 10:06:27 [info]: Received GET request to /api/suppliers
2025-07-04 10:06:27 [info]: Received GET request to /api/suppliers
2025-07-04 10:06:30 [info]: Received GET request to /api/lots
2025-07-04 10:06:30 [info]: Received GET request to /api/products
2025-07-04 10:06:30 [info]: Received GET request to /api/warehouses
2025-07-04 10:06:30 [info]: Received GET request to /api/warehouses
2025-07-04 10:06:30 [info]: Received GET request to /api/lots
2025-07-04 10:06:30 [info]: Received GET request to /api/products
2025-07-04 10:06:30 [info]: Received GET request to /api/suppliers
2025-07-04 10:06:30 [info]: Received GET request to /api/suppliers
2025-07-04 10:06:31 [info]: Received GET request to /api/products
2025-07-04 10:06:31 [info]: Received GET request to /api/lots
2025-07-04 10:06:31 [info]: Received GET request to /api/warehouses
2025-07-04 10:06:31 [info]: Received GET request to /api/warehouses
2025-07-04 10:06:31 [info]: Received GET request to /api/products
2025-07-04 10:06:31 [info]: Received GET request to /api/lots
2025-07-04 10:06:35 [info]: Received GET request to /api/warehouses
2025-07-04 10:06:35 [info]: Received GET request to /api/products
2025-07-04 10:06:35 [info]: Received GET request to /api/warehouses
2025-07-04 10:06:35 [info]: Received GET request to /api/products
2025-07-04 10:06:35 [info]: Received GET request to /api/products
2025-07-04 10:06:35 [info]: Received GET request to /api/warehouses
2025-07-04 10:06:35 [info]: Received GET request to /api/lots
2025-07-04 10:06:35 [info]: Received GET request to /api/warehouses
2025-07-04 10:06:35 [info]: Received GET request to /api/products
2025-07-04 10:06:35 [info]: Received GET request to /api/lots
2025-07-04 10:06:40 [info]: Received GET request to /api/notifications
2025-07-04 10:07:11 [info]: Received GET request to /api/notifications
2025-07-04 10:07:41 [info]: Received GET request to /api/notifications
2025-07-04 10:08:28 [info]: Received GET request to /api/notifications
2025-07-04 10:08:48 [info]: Received GET request to /api/notifications
2025-07-04 10:09:11 [info]: Received GET request to /api/notifications
2025-07-04 10:09:41 [info]: Received GET request to /api/notifications
2025-07-04 10:10:28 [info]: Received GET request to /api/notifications
2025-07-04 10:11:28 [info]: Received GET request to /api/notifications
2025-07-04 10:12:28 [info]: Received GET request to /api/notifications
2025-07-04 10:13:28 [info]: Received GET request to /api/notifications
2025-07-04 10:13:41 [info]: Received GET request to /api/notifications
2025-07-04 10:14:11 [info]: Received GET request to /api/notifications
2025-07-04 10:14:57 [info]: Received GET request to /api/notifications
2025-07-04 10:15:02 [info]: Received GET request to /api/products
2025-07-04 10:15:02 [info]: Received GET request to /api/suppliers
2025-07-04 10:15:02 [info]: Received GET request to /api/warehouses
2025-07-04 10:15:02 [info]: Received GET request to /api/categories
2025-07-04 10:15:02 [info]: Received GET request to /api/suppliers
2025-07-04 10:15:02 [info]: Received GET request to /api/warehouses
2025-07-04 10:15:02 [info]: Received GET request to /api/categories
2025-07-04 10:15:02 [info]: Received GET request to /api/products
2025-07-04 10:15:04 [info]: Received GET request to /api/warehouses
2025-07-04 10:15:04 [info]: Received GET request to /api/warehouses
2025-07-04 10:15:04 [info]: Received GET request to /api/receive-history?startDate=04-07-2025&endDate=04-07-2025&warehouse=&searchQuery=&userQuery=&page=1&limit=25
2025-07-04 10:15:04 [info]: Received GET request to /api/receive-history?startDate=04-07-2025&endDate=04-07-2025&warehouse=&searchQuery=&userQuery=&page=1&limit=25
2025-07-04 10:15:05 [info]: Received GET request to /api/warehouses
2025-07-04 10:15:05 [info]: Received GET request to /api/warehouses
2025-07-04 10:15:05 [info]: Received GET request to /api/lot-management?searchQuery=&warehouse=all&page=1&limit=25
2025-07-04 10:15:05 [info]: Fetching lot management data
2025-07-04 10:15:05 [info]: Received GET request to /api/lot-management?searchQuery=&warehouse=all&page=1&limit=25
2025-07-04 10:15:05 [info]: Fetching lot management data
2025-07-04 10:15:06 [info]: Received GET request to /api/warehouses
